#http://mips.as.arizona.edu/~cnaw/sun.html -- https://ui.adsabs.harvard.edu/abs/2018ApJS..236...47W/abstract
#filter,vegamag,AB,ST,Apparent(vegamag),Apparent(AB),Apparent(ST),ABmagofVega,STmagofVega,PivotWavelength(μm),FilterReference
NIRCAM_F277W,3.26,5.53,9.04,-28.31,-26.04,-22.53,2.265,5.779,2.7618,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F300M,3.26,5.69,9.38,-28.31,-25.88,-22.20,2.429,6.115,2.9892,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F322W2,3.26,5.77,9.63,-28.31,-25.80,-21.95,2.509,6.365,3.2320,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F323N,3.26,5.85,9.70,-28.31,-25.73,-21.87,2.583,6.441,3.2369,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F335M,3.26,5.92,9.86,-28.31,-25.65,-21.71,2.658,6.599,3.3621,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F356W,3.26,6.02,10.09,-28.31,-25.55,-21.48,2.763,6.833,3.5684,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F360M,3.26,6.07,10.17,-28.31,-25.50,-21.40,2.808,6.912,3.6242,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F405N,3.24,6.30,10.65,-28.33,-25.27,-20.93,3.058,7.404,4.0517,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F410M,3.26,6.31,10.67,-28.31,-25.27,-20.90,3.049,7.411,4.0822,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F430M,3.27,6.41,10.88,-28.31,-25.16,-20.69,3.147,7.613,4.2813,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F444W,3.27,6.46,10.99,-28.30,-25.11,-20.59,3.185,7.712,4.4040,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F460M,3.29,6.60,11.24,-28.28,-24.97,-20.34,3.308,7.943,4.6285,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F466N,3.26,6.62,11.26,-28.31,-24.96,-20.31,3.352,8.000,4.6544,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F470N,3.29,6.63,11.30,-28.28,-24.94,-20.27,3.341,8.013,4.7078,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
NIRCAM_F480M,3.29,6.67,11.39,-28.28,-24.90,-20.18,3.383,8.104,4.8167,https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters
MIRI_F560W,3.28,6.97,12.04,-28.29,-24.60,-19.54,3.693,8.756,5.6362,http://ircamera.as.arizona.edu/MIRI/MIRI-TN-00072_PCEs%20Iss3.pdf
MIRI_F770W,3.26,7.58,13.30,-28.31,-23.99,-18.27,4.314,10.039,7.6428,http://ircamera.as.arizona.edu/MIRI/MIRI-TN-00072_PCEs%20Iss3.pdf
MIRI_F1000W,3.27,8.15,14.45,-28.31,-23.42,-17.13,4.883,11.181,9.9544,http://ircamera.as.arizona.edu/MIRI/MIRI-TN-00072_PCEs%20Iss3.pdf
MIRI_F1130W,3.26,8.43,15.00,-28.31,-23.14,-16.57,5.166,11.741,11.3087,http://ircamera.as.arizona.edu/MIRI/MIRI-TN-00072_PCEs%20Iss3.pdf
